"all_exp","foodshortage_exp","foodshortagenew_exp","foodshortagerehab_exp","new_exp","newrehab_exp","rehab_exp","site","month","year","day","date"
0.0248687043786049,0.00765600008890033,0.28289470076561,0.0098760649561882,0.2789326608181,0.0189992636442184,0.00136305473279208,"Avoca",7,2012,15,2012-07-15
0.0179738905280828,0.00996599998325109,0.300181865692139,0.0104887820780277,0.273776084184647,0.011745085939765,0.000389491062378511,"Avoca",8,2012,15,2012-08-15
0.0349865183234215,0.0074579999782145,0.317137449979782,0.0188330616801977,0.338010787963867,0.0540161803364754,0.0163769870996475,"Avoca",9,2012,15,2012-09-15
0.0834869667887688,0.0256740003824234,NA,0.0315301343798637,0.301206022500992,0.00153830414637923,0.00975207518786192,"Avoca",10,2012,15,2012-10-15
0.0100359488278627,0.00547799980267882,0.238776177167892,NA,0.224710822105408,NA,NA,"Avoca",11,2012,15,2012-11-15
NA,0.0788699984550476,0.336009830236435,0.0800693780183792,0.355256766080856,0.0241036154329777,0.00187521066982299,"Avoca",12,2012,15,2012-12-15
0.0609567239880562,0.00250800000503659,0.342904478311539,0.00851704366505146,0.342398196458817,0.0505895987153053,0.00731971999630332,"Avoca",1,2013,15,2013-01-15
0.0729162320494652,NA,0.395983099937439,0.027053052559495,NA,0.031960267573595,0.00189350254368037,"Avoca",2,2013,15,2013-02-15
0.00796792842447758,0.000197999994270504,0.361463278532028,0.000689249485731125,0.408016800880432,0.0112750362604856,8.02222566562705e-05,"Avoca",3,2013,15,2013-03-15
0.0168629791587591,0.00594000006094575,0.304578334093094,0.0064011262729764,0.250654131174088,0.0133152604103088,NA,"Avoca",4,2013,15,2013-04-15
0.0282873343676329,0.0228359997272491,0.243900433182716,0.0230249110609293,0.232797518372536,0.00553997280076146,0.000196118562598713,"Avoca",5,2013,15,2013-05-15
0.0165283381938934,0.0101640000939369,0.271697044372559,0.0103861605748534,0.25779315829277,0.00746612111106515,0.000280322128674015,"Avoca",6,2013,15,2013-06-15
0.0503458753228188,0.0346500016748905,0.243603006005287,0.0359789878129959,0.222089648246765,0.0138780949637294,0.000998835428617895,"Avoca",7,2013,15,2013-07-15
0.0117186456918716,0.0014519999967888,0.307997673749924,0.00174255261663347,0.28041610121727,0.0100825075060129,0.000249839125899598,"Avoca",8,2013,15,2013-08-15
0.0165126416832209,0.0103620002046227,0.312560617923737,0.0105033498257399,0.195886805653572,NA,0.000201225760974921,"Avoca",9,2013,15,2013-09-15
0.0491633526980877,0.00910800043493509,NA,0.0225821174681187,0.243268311023712,0.0609814114868641,0.0124034788459539,"Avoca",10,2013,15,2013-10-15
0.0447244383394718,0.0209219995886087,0.400174915790558,0.0226206462830305,NA,NA,0.00111623026896268,"Avoca",11,2013,15,2013-11-15
0.0235168114304543,0.00105600000824779,0.316408216953278,0.00398126104846597,0.241883635520935,0.0430960282683372,0.00633583078160882,"Avoca",12,2013,15,2013-12-15
0.388908714056015,0.00112200004514307,0.411188751459122,NA,0.373611181974411,0.261381387710571,NA,"Avoca",1,2014,15,2014-01-15
0.259440362453461,0.000197999994270504,0.346193939447403,0.434048563241959,0.458950459957123,0.24565988779068,0.541487038135529,"Avoca",2,2014,15,2014-02-15
0.364139586687088,0.000197999994270504,0.419779568910599,0.209711402654648,0.438662171363831,0.352330297231674,0.317084014415741,"Avoca",3,2014,15,2014-03-15
0.229101210832596,0,0.30679839849472,0.449276894330978,0.248477220535278,0.298202484846115,0.580187201499939,"Avoca",4,2014,15,2014-04-15
0.437597304582596,0.00343200005590916,0.203557789325714,0.629769682884216,0.265806913375854,0.435045659542084,NA,"Avoca",5,2014,15,2014-05-15
0.243960335850716,6.6000000515487e-05,0.188950002193451,0.365704327821732,0.172987282276154,0.0983300358057022,0.608169436454773,"Avoca",6,2014,15,2014-06-15
0.33130618929863,0.000395999988541007,0.256688117980957,0.456777185201645,0.169552654027939,0.339668273925781,0.65396922826767,"Avoca",7,2014,15,2014-07-15
0.397707939147949,NA,0.29889053106308,0.621961534023285,0.312064558267593,0.425241351127625,0.651315152645111,"Avoca",8,2014,15,2014-08-15
0.448684006929398,0.0759000033140182,0.282615125179291,0.655762553215027,0.276895821094513,0.315865129232407,0.655220627784729,"Avoca",9,2014,15,2014-09-15
0.435557633638382,0.000528000004123896,0.295016020536423,0.649579882621765,0.21197435259819,0.366668581962585,NA,"Avoca",10,2014,15,2014-10-15
0.478974401950836,0.00105600000824779,NA,NA,0.285105675458908,NA,NA,"Avoca",11,2014,15,2014-11-15
0.351544708013535,NA,0.280703037977219,0.658470928668976,0.380455017089844,NA,NA,"Avoca",12,2014,15,2014-12-15
0.00178457039874047,6.6000000515487e-05,0.261919647455215,7.41979019949213e-05,0.226162955164909,0.00154953286983073,1.92684474313864e-05,"Avoca",1,2011,15,2011-01-15
0.0066225198097527,0.00646799989044666,0.243210256099701,0.0064680390059948,0.217889562249184,0.000150503910845146,1.54108789729435e-07,"Avoca",2,2011,15,2011-02-15
